ID,TenSach,TacGia,LoaiCSDL,STTKe,NXB,ChuDe
34990,Web publisher's construction kit with Nescape Plug-Ins,"Jonathan Angel
",Sách in,"005.758   
/ A581 
","Corte Madera, California: Waite Group Press",computer programming ( electronic computers )Nescape Plug-Ins developer&apos; s kit20.01; computer programs - study and teaching; database administration; internet ( computer network ) - study and teaching; sql ( computer program language ); Công nghệ thông tin; Mạng máy tính; Ngôn ngữ lập trìnhsql ( computer program language ); Quản trị CSDL; client/server computing; computer networks; computer programming ( electronic computers )
153130,Management strategies for information technology,"Earl, Michael J.
",Sách in,"658.4038   
/ E12 
","New York: Prentice Hall, 1989",Information resources management; Information technology; Công nghệ thông tin; Quản lý nguồn thông tin
137236,Management information systems for the information age,"McCubbrey, Donald J. ",Sách in,"658.4   
/ H111 
","Boston, Mass.: McGraw-Hill Irwin, 2005",Management information systems; Hệ thống thông tin quản lý; Information technology; Công nghệ thông tin
146779,An introduction to enterprise architecture,"Bernard, Scott A.
",Sách in,"658.4038   
/ B518 
","[Bloomington, Ind.]: AuthorHouse, 2005",Management information systems; System design; Information technology; Quản trị hệ thống thông tin; Thiết kế hệ thống; Công nghệ thông tin
153084,Security in e-learning,"Weippl, Edgar R.
",Sách in,"005.8   
/ W423 
","New York, NY: Springer, 2005",Information technology; Computer security; Computer-assisted instruction; Bảo mật máy tính; Công nghệ thông tin
156823,"The mathematical foundation of informatics : proceedings of the conference, Hanoi, Vietnam, 25-28 October 1999","Do, Long Van - Editor ;  
Ito, Masami  - Editor
",Sách in,"004.0151   
/ M426 
","Singapore, New Jersey: World Scientific, 2005",Information technology; Information science; Công nghệ thông tin; Khoa học thông tin
207798,Information technology project management : Providing measurable organizational value,"Marchewka, Jack T.
",Sách in,"004.0684   
/ M316 
","Hoboken, NJ: John Wiley & Sons, Inc., 2015",Quản lý dự án; Công nghệ thông tin; Project management; Information technology
146781,Enterprise architecture as strategy : Creating a foundation for business execution,"Robertson, David, |d 1935 -  ;  
Weill, Peter ",Sách in,"658.4038   
/ R831 
","Boston, Mass.: Harvard Business School Press, 2006",Industrial management; Information technology; Strategic planning; Lập kế hoạch chiến lược; Công nghệ thông tin; Quản lý công nghiệp
155089,Từ điển tin học và Công nghệ thông tin Anh - Anh - Việt  = The English - English - Vietnamese dictionary of informatics and information technology: The English - English - Vietnamese dictionary of informatics and information technology,"Trương, Văn Thiện ",Sách in,"004.03   
/ T502 
","Hà Nội: Thông tấn, 2006",Computer science; Information technology; Khoa học máy tính; Công nghệ thông tin
133218,Introduction to systems analysis and design,"Bentley, Lonnie D. ",Sách in,"003   
/ W594 
","Boston: McGraw Hill Irwin, 2008",System design; System analysis; Information technology; Công nghệ thông tin; Phân tích hệ thống; Thiết kế hệ thống
